카카오기준_주차장명,주소,카카오평점,네이버평점,카카오평점수,카카오리뷰수,네이버리뷰수,네이버블로그리뷰수,위도,경도
공영빌딩 주차장,서울 광진구 중곡동 157-1,0.0점,-,0건,0,-,-,37.55762722,127.0800324
광진광장 공영주차장,서울 광진구 광나루로 389 광진광장 지하,0.0점,4.34,0건,13,301,24,37.54769319,127.0732134
구의1동 공영주차장,서울 광진구 자양로18길 78,2.3점,4.45,8건,4,98,18,37.53827118,127.0878651
구의1동 공영주차장 개방화장실,서울 광진구 자양로18길 78,0.0점,-,0건,0,-,-,37.53827118,127.0878651
구의2동공영주차장,서울 광진구 자양로 307,0.0점,4.41,0건,0,223,24,37.55293581,127.0928427
구의2동주택가 공동주차장,서울 광진구 자양로 307,0.0점,4.41,0건,17,223,24,37.55293581,127.0928427
구의3동 공영주차장,서울 광진구 광나루로52길 83,0.0점,4.42,0건,1,90,10,37.53915223,127.0913627
구의3동 공영주차장 전기차충전소,서울 광진구 광나루로52길 83 지하주차장,0.0점,-,0건,0,-,-,37.53915223,127.0913627
그린존 자양유수지 공영주차장,서울 광진구 자양동 594,0.0점,-,0건,0,-,-,37.52938428,127.0775295
긴고랑길공동주차장,서울 광진구 긴고랑로45길 7,0.0점,-,0건,0,-,-,37.56053219,127.0947921
능동공영주차장,서울 광진구 천호대로112길 56,4.5점,4.34,2건,20,567,30,37.55404174,127.0802433
능동공영주차장 전기차충전소,서울 광진구 천호대로112길 56,0.0점,-,0건,0,-,-,37.55404174,127.0802433
동서울노외공영 주차장,서울 광진구 구의동 598-1,0.0점,-,0건,0,-,-,37.53351479,127.0913148
동서울호텔길A 공영주차장,서울 광진구 구의동 609-1,0.0점,-,0건,0,1,-,37.53316927,127.0916573
동서울호텔길B 공영주차장,서울 광진구 자양동 735,0.0점,4.27,0건,0,510,-,37.53173661,127.0917459
뚝섬한강공원 1주차장,서울 광진구 자양동 409,0.0점,-,0건,0,-,-,37.52754812,127.0783651
뚝섬한강공원 2주차장,서울 광진구 자양동 435,5.0점,-,2건,2,9,19,37.5278619,127.0738071
뚝섬한강공원 4주차장,서울 광진구 자양동 97-5,5.0점,4.17,1건,12,55,2,37.5310074,127.0642254
뻥튀기공원 거주자주차장,서울 광진구 중곡동 176-110 지상,0.0점,-,0건,0,-,-,37.56823961,127.0894432
송림기사식당길A 공영주차장,서울 광진구 자양동 794-10,0.0점,-,0건,0,-,-,37.53656545,127.0766831
송림식당길 노상공영주차장,서울 광진구 자양번영로 79,0.0점,-,0건,0,-,-,37.53678576,127.0765173
쏘카존 구의3동 공영주차장,서울 광진구 광나루로52길 83,0.0점,-,0건,0,-,-,37.53915223,127.0913627
쏘카존 동서울 노상공영주차장(23~25번),서울 광진구 구의동 624-5,0.0점,-,0건,0,-,-,37.53129086,127.0920014
용마산 남측 거주자주차장,서울 광진구 중곡동 69-2,0.0점,-,0건,0,-,-,37.55911105,127.0921681
자양2동유수지 공영주차장 전기차충전소,서울 광진구 뚝섬로52길 74 공영주차장 후면,0.0점,-,0건,0,-,-,None,None
자양4동 공영주차장,서울 광진구 자양동 5-5 지상,3.5점,4.46,4건,35,586,74,37.53867774,127.0681859
자양4동 공영주차장 전기차충전소,서울 광진구 자양동 5-5,0.0점,-,0건,0,-,-,37.53867774,127.0681859
자양유수지 공영주차장,서울 광진구 자양동 594,2.5점,-,2건,1,4,-,37.52938428,127.0775295
중곡2동주차장,서울 광진구 중곡동 133-10,0.0점,-,0건,0,-,1,37.55641603,127.0840252
중곡3동 마을공원 공영주차장 전기차충전소,서울 광진구 용마산로33길 25 지하1층 A7 기둥,0.0점,-,0건,0,-,-,37.5699205,127.0846836
중곡3동공영주차장,서울 광진구 용마산로33길 25 지층,4.3점,3.38,4건,2,30,1,37.5699205,127.0846836
중곡동복개천 노상공영주차장,서울 광진구 중곡동 150-196,0.0점,-,0건,0,-,-,37.56040836,127.0857666
중곡복개천길노상공영주차장,서울 광진구 중곡동 150-196,0.0점,-,0건,0,-,-,37.56040836,127.0857666
중곡시장 주차장,서울 광진구 중곡동 221-6,0.0점,-,0건,0,-,-,37.56386633,127.0819056
화양동 공영주차장,서울 광진구 군자로 22,1.6점,4.23,8건,24,503,47,37.54529724,127.0711788
